Date,60-day
21/2/2013, 0.2518 
20/2/2013, 0.2463 
19/2/2013, 0.2282 
18/2/2013, 0.2277 
15/2/2013, 0.2339 
14/2/2013, 0.2374 
13/2/2013, 0.2410 
12/2/2013, 0.2413 
11/2/2013, 0.2585 
8/2/2013, 0.2572 
7/2/2013, 0.2574 
6/2/2013, 0.2827 
5/2/2013, 0.2852 
4/2/2013, 0.2826 
1/2/2013, 0.2714 
31/1/2013, 0.2814 
30/1/2013, 0.3151 
29/1/2013, 0.3154 
28/1/2013, 0.3150 
25/1/2013, 0.3178 
24/1/2013, 0.3234 
23/1/2013, 0.3211 
22/1/2013, 0.3254 
21/1/2013, 0.3278 
18/1/2013, 0.3193 
17/1/2013, 0.3127 
16/1/2013, 0.3076 
15/1/2013, 0.3105 
14/1/2013, 0.3096 
11/1/2013, 0.3199 
10/1/2013, 0.3161 
9/1/2013, 0.3141 
8/1/2013, 0.3168 
7/1/2013, 0.3189 
4/1/2013, 0.3203 
3/1/2013, 0.3177 
2/1/2013, 0.3198 
31/12/2012, 0.2965 
28/12/2012, 0.2805 
27/12/2012, 0.2745 
26/12/2012, 0.2767 
25/12/2012, 0.2712 
24/12/2012, 0.2689 
21/12/2012, 0.2658 
20/12/2012, 0.2614 
19/12/2012, 0.2653 
18/12/2012, 0.2673 
17/12/2012, 0.2709 
14/12/2012, 0.2639 
13/12/2012, 0.2635 
12/12/2012, 0.2600 
11/12/2012, 0.2602 
10/12/2012, 0.2603 
7/12/2012, 0.2633 
6/12/2012, 0.2634 
5/12/2012, 0.2720 
4/12/2012, 0.2747 
3/12/2012, 0.2757 
30/11/2012, 0.2760 
29/11/2012, 0.2749 
28/11/2012, 0.2934 
27/11/2012, 0.2913 
26/11/2012, 0.2904 
23/11/2012, 0.2934 
22/11/2012, 0.2874 
21/11/2012, 0.2882 
20/11/2012, 0.2881 
19/11/2012, 0.2896 
16/11/2012, 0.2740 
15/11/2012, 0.2734 
14/11/2012, 0.2774 
13/11/2012, 0.2633 
12/11/2012, 0.2626 
9/11/2012, 0.2634 
8/11/2012, 0.2649 
7/11/2012, 0.2586 
6/11/2012, 0.2341 
5/11/2012, 0.2306 
2/11/2012, 0.2336 
1/11/2012, 0.2288 
31/10/2012, 0.2156 
30/10/2012, 0.2170 
29/10/2012, 0.2146 
26/10/2012, 0.2116 
25/10/2012, 0.2375 
24/10/2012, 0.2420 
23/10/2012, 0.2431 
22/10/2012, 0.2384 
19/10/2012, 0.2364 
18/10/2012, 0.2419 
17/10/2012, 0.2484 
16/10/2012, 0.2444 
15/10/2012, 0.2488 
12/10/2012, 0.2555 
11/10/2012, 0.2603 
10/10/2012, 0.2549 
9/10/2012, 0.2503 
8/10/2012, 0.2446 
5/10/2012, 0.2450 
4/10/2012, 0.2573 
3/10/2012, 0.2544 
2/10/2012, 0.2544 
1/10/2012, 0.2604 
28/9/2012, 0.2632 
27/9/2012, 0.2670 
26/9/2012, 0.2631 
25/9/2012, 0.2634 
24/9/2012, 0.2551 
21/9/2012, 0.2545 
20/9/2012, 0.2875 
19/9/2012, 0.2858 
18/9/2012, 0.2884 
